account_id,children
10127,1 child
271,2 children
4973,1 child
2948,1 child
2715,2 children
10432,1 child
9216,2 children
7124,2 children
9727,No child
5136,1 child
9790,No child
1818,1 child
1100,3 children
7873,2 children
10609,1 child
6950,2 children
7233,No child
9481,1 child
7699,2 children
2711,1 child
8933,1 child
8726,2 children
1515,1 child
5186,1 child
10157,1 child
5667,1 child
902,1 child
977,1 child
7313,No child
7600,1 child
9706,1 child
2429,1 child
3520,No child
10394,No child
4548,2 children
9362,1 child
3968,No child
4084,1 child
6721,1 child
2829,1 child
1772,No child
1544,No child
492,1 child
4377,1 child
4541,1 child
1321,1 child
8858,1 child
3266,No child
11187,1 child
8207,1 child
9723,1 child
2666,1 child
5721,No child
10652,No child
1646,1 child
4418,No child
2656,2 children
7990,No child
8722,No child
7118,1 child
2980,2 children
1839,No child
10722,1 child
2632,2 children
9014,2 children
7620,1 child
10968,1 child
11133,1 child
2736,1 child
1876,No child
5959,2 children
1092,1 child
4333,2 children
3850,1 child
6168,2 children
607,1 child
10469,No child
6983,2 children
3661,No child
9303,1 child
692,2 children
736,1 child
9589,No child
4838,1 child
9246,1 child
6261,1 child
7366,No child
10659,1 child
1448,3 children
4286,1 child
4749,2 children
4478,2 children
4201,1 child
10084,2 children
7004,1 child
9817,No child
8080,No child
8372,1 child
10870,1 child
4001,3 children
7270,No child
8235,1 child
9405,2 children
